element_type,osmid,geometry,bicycle,crossing,highway,horse,crossing:markings,ford,intermittent,crossing:island,tactile_paving,nodes,smoothness,surface,foot,layer,segregated,tunnel,width,cycleway,lanes,note,access,description,historic,name,website,footway,motor_vehicle,lit,bridge,operator,service,store,postal_code,oneway,source,road_marking,covered,button_operated,wheelchair,access_aisle,ski,snowmobile,public_transport,public_transport:version,railway,addr:city,addr:country,addr:housenumber,addr:state,addr:street,incline,step_count,check_date,dog,stroller,indoor,level,ramp,handrail
way,34081803,"LINESTRING (-112.1167665 33.5710479, -112.1167177 33.571096, -112.1166533 33.5711418, -112.116593 33.5711564, -112.1162195 33.5711885, -112.1159016 33.5711955, -112.1155711 33.571196, -112.1145538 33.5711905, -112.1142957 33.571172, -112.1141528 33.5711553, -112.1140308 33.5711407, -112.1139413 33.5711427, -112.1138997 33.5711508, -112.1138424 33.5711675, -112.1137706 33.5711837, -112.1136848 33.5711905, -112.1135842 33.5711916, -112.1132627 33.5711879, -112.1127098 33.5711751, -112.1124154 33.5711645, -112.1122911 33.5711641, -112.112192 33.5711631, -112.1115108 33.5711833, -112.1113563 33.5711976, -112.1111331 33.5712548, -112.1109614 33.5712977, -112.1107383 33.5713836, -112.1106267 33.5714336, -112.1104722 33.5715266, -112.1090388 33.5724849, -112.1087213 33.5727066, -112.1086183 33.5727852, -112.1084294 33.5729139, -112.1082406 33.5729712, -112.108069 33.5730141, -112.1078801 33.5730355, -112.1077685 33.5730427, -112.107657 33.5730355, -112.1075196 33.5730141, -112.1073308 33.572964, -112.1056829 33.5725564, -112.1041894 33.5722274, -112.1006583 33.571693, -112.1001785 33.5716224, -112.1000344 33.571601, -112.099882 33.5715783, -112.099661 33.5715435, -112.0994854 33.5715195, -112.0993223 33.5714909, -112.0990219 33.5714194, -112.0988503 33.5713765, -112.0986099 33.5713264, -112.0984554 33.5713121, -112.0982409 33.5712835, -112.0973911 33.5710261, -112.0965843 33.5707686, -112.0962067 33.5706542, -112.0960522 33.570597, -112.0959663 33.5705541, -112.0958719 33.5705326, -112.0956831 33.5705112, -112.093606 33.5700177, -112.0915463 33.5695429, -112.0899668 33.5691953, -112.0869112 33.5684587, -112.0867138 33.5684158, -112.0865078 33.5683872, -112.0863876 33.5683729, -112.0862503 33.5683586, -112.0860958 33.5683586, -112.084568 33.5684658, -112.0836496 33.5685087, -112.0835123 33.5684944, -112.0833063 33.568473, -112.0831862 33.5684372, -112.0830059 33.5683872, -112.082757 33.5683157, -112.0826652 33.5682899)",designated,,cycleway,designated,,,,,,"[394012352, 394012355, 394012358, 394012361, 394012364, 394012367, 394012370, 394012373, 394012376, 394012379, 394012382, 1359688970, 8559800964, 8559800965, 394012385, 8559800961, 394005063, 8559800962, 8559800963, 394005064, 3088736351, 394005066, 394005067, 394005068, 394005069, 394005070, 394005071, 394005072, 394002980, 394002981, 394002982, 394002983, 394002984, 394002985, 394002986, 394002987, 394000757, 394000758, 394000759, 394000466, 394000471, 393998172, 392136869, 392136870, 392136871, 392136872, 3088736353, 392136873, 392136874, 392136875, 392136876, 392136877, 392136878, 392136879, 392136216, 392136217, 392136218, 392136219, 392136220, 392136221, 392136222, 392135897, 2458568084, 392135690, 392135038, 392135039, 392135040, 392135041, 392135042, 392135043, 392133722, 392133723, 392133670, 392133671, 392133672, 392133673, 392133674, 10100100428]",good,asphalt,designated,,no,,3.048,lane,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34182612,"LINESTRING (-112.0788855 33.5679466, -112.0797405 33.5679219, -112.079852 33.567972, -112.0799722 33.5680435, -112.0800494 33.5680792, -112.0803069 33.5681579, -112.0807361 33.5682723, -112.0811137 33.5683796, -112.0812339 33.5684225, -112.0819166 33.5686324, -112.0821519 33.5687122, -112.0822645 33.5687484, -112.0823291 33.5687999, -112.0823947 33.5688199, -112.082431 33.5688286)",yes,,cycleway,,,,,,,"[392108942, 392108944, 392108949, 392108955, 392108959, 392108963, 392108967, 392108972, 392108975, 1939289226, 1939289228, 392133195, 1939289229, 392133202, 392133216]",,asphalt,yes,,,,3.048,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,34196816,"LINESTRING (-112.0725499 33.5608272, -112.0725228 33.560791, -112.0724593 33.5607375, -112.072358 33.5606701, -112.0722998 33.5606373, -112.0722053 33.5605983, -112.0717374 33.5604187, -112.070623 33.5599957, -112.069466 33.5595499, -112.0687757 33.5592929, -112.0680662 33.5590162, -112.0669264 33.5585762, -112.0665907 33.558447, -112.0663891 33.5583753, -112.0662544 33.5583192, -112.0661523 33.55828, -112.0660705 33.5582515, -112.0659915 33.5582451, -112.0658822 33.5582499, -112.0658075 33.5582571, -112.0657603 33.5582787, -112.0657458 33.5583112, -112.0657426 33.5583687, -112.0657457 33.5584236)",yes,,cycleway,,,,,,,"[3852304593, 392184105, 3852304581, 392184106, 3852304575, 392184107, 3307881561, 392184110, 392184111, 3307877160, 392184112, 3307877154, 392184113, 392184114, 392184115, 392184116, 3307877150, 392184117, 392184118, 3307877151, 3852304437, 3307877152, 3852304438, 392184090]",,asphalt,yes,,,,,,1,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,100547845,"LINESTRING (-112.0652756 33.5578812, -112.0651403 33.5578617, -112.0648198 33.5577368, -112.0647778 33.5577016, -112.0632896 33.5571338, -112.0630922 33.557048, -112.0629463 33.5569836, -112.0628089 33.5569192, -112.0625874 33.5568172, -112.0624609 33.5567211, -112.0623888 33.5566612, -112.0623348 33.5566148, -112.0622513 33.5565337, -112.0620655 33.5563101, -112.0617763 33.5558852, -112.0615715 33.5555671, -112.061495 33.555395, -112.0614293 33.5551894, -112.0613556 33.5547121, -112.0613466 33.5546224, -112.0613401 33.5545238, -112.061325 33.5544739, -112.061222 33.5543201, -112.0611689 33.5534343, -112.0612163 33.5533792, -112.0612108 33.5530624, -112.0610989 33.5529405, -112.0610619 33.5527932, -112.061063 33.5527031, -112.0610668 33.5526072, -112.0610659 33.5525691, -112.0610738 33.5525416, -112.0610841 33.5524983, -112.0611201 33.5524416, -112.0611534 33.5523928, -112.061177 33.5523396, -112.0611824 33.5522921, -112.0611725 33.5521758, -112.0611625 33.5519967, -112.0611517 33.5519017, -112.061146 33.5518277, -112.0611355 33.5516937, -112.0610988 33.5515549, -112.0610645 33.5514717, -112.0609967 33.5513592, -112.0609248 33.5512526, -112.060803 33.5511503, -112.0607009 33.5510724, -112.0603882 33.5508191, -112.0600558 33.5505746, -112.0599013 33.5504459, -112.0597833 33.5503187, -112.0597267 33.5502666, -112.0596545 33.5502078, -112.0595968 33.5501543, -112.0595342 33.550088, -112.0594861 33.5500327, -112.0594284 33.5499552, -112.0593931 33.5498969, -112.0593778 33.5498808, -112.0593242 33.5497842, -112.0592579 33.5496759, -112.059197 33.5495748, -112.0590478 33.5493302, -112.0590222 33.5492875, -112.058957 33.5491774, -112.05885 33.5489992, -112.0587549 33.5488442, -112.0586897 33.5487328, -112.0585662 33.5485212, -112.0584673 33.5483613, -112.0581761 33.5478779, -112.0579232 33.5474579)",designated,,cycleway,designated,,,,,,"[390415070, 391216572, 3006456217, 391216573, 391216574, 391216575, 391216576, 391216577, 391216578, 2024698529, 1118307816, 391216579, 391216580, 391216581, 391216582, 391216583, 391216584, 391216585, 4922445425, 391216586, 4922445424, 1162409259, 391216587, 1162409131, 391216588, 1162409396, 391216589, 1162409230, 1162409270, 1162409328, 1162409014, 1162409249, 391717205, 391717206, 1998614939, 391717207, 391717208, 1998614925, 1617297757, 391717209, 391717210, 391717211, 391717212, 391717213, 391717214, 391717215, 391717216, 391717217, 1998614905, 391717218, 391717219, 391717220, 3852304374, 3852304373, 391717221, 3852304372, 391717222, 3852304371, 3852304370, 391717223, 3852304369, 391717224, 3852304368, 391717225, 3852304367, 391717226, 3852304366, 391717227, 3852304365, 3852304364, 391717228, 391717229, 3852304155]",good,asphalt,designated,,no,,,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,121547106,"LINESTRING (-112.0659315 33.5579297, -112.0658639 33.5578783, -112.0658275 33.5578558, -112.0652775 33.5576209, -112.0650638 33.5575476, -112.0647687 33.5574381, -112.0646848 33.5574108, -112.0645885 33.557405)",designated,,cycleway,designated,,,,,,"[390540447, 1360443941, 3852304433, 1360443936, 1360443934, 1360443937, 1360443938, 390540393]",good,asphalt,designated,,no,,3.048,lane,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,238000098,"LINESTRING (-112.0824074 33.568516, -112.0817259 33.5683266)",designated,,cycleway,designated,,,,,,"[2458568045, 392133491]",excellent,concrete,designated,,no,,3.048,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,238000101,"LINESTRING (-112.0804879 33.5679813, -112.080327 33.5679412, -112.0802533 33.5679172, -112.0801326 33.5678563, -112.0799851 33.5677736)",designated,,cycleway,designated,,,,,,"[390534549, 390534550, 4634043597, 4634043596, 390534551]",excellent,concrete,designated,,no,,3.048,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,238000107,"LINESTRING (-112.0831875 33.5687496, -112.0830133 33.5687135, -112.0828503 33.5686619, -112.0827021 33.568612)",designated,,cycleway,designated,,,,,,"[392133487, 392133488, 392133489, 392133490]",excellent,concrete,designated,,no,,3.048,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,238000113,"LINESTRING (-112.0827021 33.568612, -112.0824074 33.568516)",designated,,cycleway,designated,,,,,,"[392133490, 2458568045]",excellent,concrete,designated,-1,no,passage,3.048,,,Tunnel was added in late 2012 or early 2013 but not visible on the bing imagery.,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,238000115,"LINESTRING (-112.0817259 33.5683266, -112.0815527 33.5682759, -112.0812985 33.568199, -112.0804879 33.5679813)",designated,,cycleway,designated,,,,,,"[392133491, 392133492, 392133493, 390534549]",,asphalt,designated,,no,,3.048,,,,,,,,,,,,,,,"Walmart Neighborhood Market, 115 E Dunlap Ave, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
