element_type,osmid,geometry,bicycle,crossing,highway,horse,crossing:markings,ford,intermittent,crossing:island,tactile_paving,nodes,smoothness,surface,foot,layer,segregated,tunnel,width,cycleway,lanes,note,access,description,historic,name,website,footway,motor_vehicle,lit,bridge,operator,service,store,postal_code,oneway,source,road_marking,covered,button_operated,wheelchair,access_aisle,ski,snowmobile,public_transport,public_transport:version,railway,addr:city,addr:country,addr:housenumber,addr:state,addr:street,incline,step_count,check_date,dog,stroller,indoor,level,ramp,handrail
way,576547474,"LINESTRING (-112.2240829 33.4284391, -112.2241875 33.4284418, -112.2243643 33.4283254, -112.2245083 33.4283262, -112.2245866 33.4282793, -112.2247733 33.4282726, -112.2250456 33.4282575, -112.225213 33.4282338, -112.2254208 33.4282043, -112.2254605 33.4281978, -112.2256001 33.4282012)",,marked,footway,,,,,,,"[5529763494, 5529763495, 5529763496, 5529763497, 5529763498, 7053693424, 5529763493, 5682178416, 5529763499, 5682178408, 5682178407]",,,,,,,,,,,,,,,,crossing,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,576547475,"LINESTRING (-112.224359 33.427488, -112.2239113 33.4274865, -112.2235715 33.4273743, -112.2233025 33.4275899, -112.2231203 33.4275087)",,marked,footway,,,,,,,"[5529763500, 5529763501, 5529763502, 5529763503, 5529763504]",,,,,,,,,,,,,,,,crossing,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,576547476,"LINESTRING (-112.2231203 33.4275087, -112.2228337 33.4274418)",,,footway,,,,,,,"[5529763504, 5529763505]",,,,,,,,,,,,,,,,sidewalk,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,576951637,"LINESTRING (-112.2210221 33.4221926, -112.2210237 33.4224561, -112.2209805 33.4224626)",,,footway,,,,,,,"[5532446228, 5532446229, 5532446230]",,,,,,,,,,,,,,,,sidewalk,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,576951638,"LINESTRING (-112.2209805 33.4224626, -112.2209797 33.4225207, -112.2209788 33.4225805)",,marked,footway,,,,,,,"[5532446230, 7153353509, 5532446231]",,,,,,,,,,,,,,,,crossing,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,576951639,"LINESTRING (-112.2209788 33.4225805, -112.2210072 33.4225924, -112.2210214 33.4226178, -112.2210225 33.4227943, -112.2210133 33.4228155, -112.220991 33.4228214, -112.2209595 33.4228401, -112.2209239 33.422835, -112.2207213 33.4227966, -112.2205112 33.4227926)",,,footway,,,,,,,"[5532446231, 5532446232, 5532446233, 5532446234, 5532446235, 5532446236, 5532446237, 5532446238, 5532446239, 5532446240]",,,,,,,,,,,,,,,,sidewalk,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,576951640,"LINESTRING (-112.2205112 33.4227926, -112.2204778 33.4227928, -112.220441 33.422793, -112.2204141 33.4227932, -112.22037 33.4227934)",,marked,footway,,,,,,,"[5532446240, 8493056898, 7153353515, 8493056895, 5532446241]",,,,,,,,,,,,,,,,crossing,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,576951641,"LINESTRING (-112.22037 33.4227934, -112.2203537 33.4227934, -112.2203517 33.4228163, -112.2203224 33.4228242, -112.2201877 33.422824, -112.219878 33.4228163, -112.2198113 33.422797)",,,footway,,,,,,,"[5532446241, 5532446242, 5532446243, 5532446244, 9064969509, 9752938953, 5532446246]",,,,,,,,,,,,,,,,sidewalk,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,576951642,"LINESTRING (-112.2198113 33.422797, -112.2197546 33.4227946, -112.2197038 33.4227846, -112.2196635 33.4227871)",,unmarked,footway,,,,,,,"[5532446246, 8493056906, 8493056903, 5532446247]",,,,,,,,,,,,,,,,crossing,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,576951643,"LINESTRING (-112.2196635 33.4227871, -112.2196286 33.4228141, -112.2182101 33.4228026, -112.2181342 33.4228272, -112.218 33.4228236)",,,footway,,,,,,,"[5532446247, 9752938952, 9064933228, 9064933229, 1445198521]",,,,,,,,,,,,,,,,sidewalk,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,936940017,"LINESTRING (-112.2125028 33.4190037, -112.2124664 33.4190003, -112.2123869 33.4189908, -112.2123268 33.4189854, -112.2122424 33.4189854, -112.2121222 33.4189908, -112.2120264 33.4190057, -112.2119371 33.4190206, -112.2118689 33.4190342, -112.2117958 33.419045, -112.2117195 33.4190491, -112.2116464 33.4190504, -112.2115879 33.419045, -112.2115181 33.4190369, -112.2114467 33.4190247, -112.2113866 33.4190139, -112.2113249 33.4189962, -112.211307 33.4189908, -112.2112502 33.4189813, -112.2111836 33.4189718, -112.2111105 33.4189664, -112.2110456 33.4189596, -112.2109693 33.4189556, -112.210914 33.4189515, -112.210841 33.4189542, -112.2107533 33.4189583, -112.2106753 33.4189664, -112.2105941 33.4189745, -112.2105276 33.4189813, -112.2104447 33.4189908, -112.2103506 33.4189908, -112.2102726 33.4189908, -112.2102174 33.4189854, -112.2101492 33.4189827, -112.2100826 33.4189705, -112.2100355 33.4189556, -112.2099803 33.4189271, -112.2099414 33.4188959, -112.2099186 33.418877, -112.2098975 33.4188417, -112.2098796 33.4188024, -112.2098764 33.4187536, -112.2098732 33.4186804, -112.209878 33.4186059, -112.2099008 33.4184622, -112.2099056 33.418385, -112.2099073 33.4183104, -112.209904 33.4182399, -112.2099024 33.4181573, -112.209891 33.4180678, -112.2098813 33.4179811, -112.2098618 33.4179133, -112.2098488 33.4178252, -112.2098455 33.4177764, -112.2098488 33.4176802, -112.2098504 33.4176205, -112.2098504 33.4175866, -112.2095947 33.4175853)",yes,,footway,,,,,,,"[8931333885, 8681405839, 8681405840, 8681405841, 8681405842, 8681405843, 8681405844, 8681405845, 8681405846, 8681405847, 8681405848, 8681405849, 8681405850, 8681405851, 8681405852, 8681405853, 8681405854, 8681405855, 8681405856, 8681405857, 8681405858, 8681405859, 8681405860, 8681405861, 8681405862, 8681405863, 8681405864, 8681405865, 8681405866, 8681405867, 8681405868, 8681405869, 8681405870, 8681405871, 8681405872, 8681405873, 8681405874, 8681405875, 8681405876, 8681405877, 8681405878, 8681405879, 8681405880, 8681405881, 8681405882, 8681405883, 8681405884, 8681405885, 8681405886, 8681405887, 8681405888, 8681405889, 8681405890, 8681405891, 8681405892, 8681405893, 8681405894, 8681405895]",,concrete,,,,,,,,,,,,,,,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,936940019,"LINESTRING (-112.211307 33.4189908, -112.2113463 33.4188563, -112.2114504 33.4186709, -112.2115095 33.4186419, -112.2115598 33.4186072, -112.2116188 33.4185825, -112.2116743 33.4185579, -112.2117316 33.4185478, -112.2117958 33.4185376, -112.2118635 33.4185188, -112.2119225 33.4184971, -112.211985 33.4184753, -112.2120527 33.4184536, -112.2120943 33.418442, -112.2121638 33.418416, -112.2122054 33.418387, -112.2122367 33.4183609, -112.2122627 33.4183406, -112.2122905 33.4183044, -112.212313 33.4182682, -112.2123339 33.4182218, -112.2123408 33.4181856, -112.2123512 33.4181378, -112.2125081 33.4181405)",yes,,footway,,,,,,,"[8681405855, 8681405900, 8681405901, 8681405902, 8681405903, 8681405904, 8681405905, 8681405906, 8681405907, 8681405908, 8681405909, 8681405910, 8681405911, 8681405912, 8681405913, 8681405914, 8681405915, 8681405916, 8681405917, 8681405918, 8681405919, 8681405920, 8681405921, 8931333887]",,concrete,,,,,,,,,,,,,,,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,936940021,"LINESTRING (-112.2114071 33.4180016, -112.2114064 33.4178878, -112.2114053 33.4176018, -112.2114166 33.4166437, -112.2114244 33.4160373, -112.2114591 33.4160329, -112.2114938 33.4160329, -112.211532 33.4160344, -112.2115771 33.4160344, -112.2116205 33.4160373, -112.2116587 33.416043, -112.2116882 33.4160459, -112.2117299 33.4160532, -112.2117715 33.4160575, -112.211808 33.4160633, -112.2118583 33.416072, -112.2118965 33.4160807, -112.2119347 33.4160836, -112.2119815 33.4160923, -112.2120249 33.4160952, -112.2120562 33.4160952, -112.2121048 33.4160938, -112.212162 33.4160923, -112.2122158 33.4160894, -112.2122662 33.416088, -112.2123321 33.4160807, -112.2123755 33.4160706, -112.2124224 33.4160619, -112.2124553 33.4160503, -112.2124918 33.4160401, -112.2125265 33.4160445)",yes,,footway,,,,,,,"[8681405936, 8681673277, 8681405953, 8681653313, 8681405954, 8681405955, 8681405956, 8681405957, 8681405958, 8681405959, 8681405960, 8681405961, 8681405962, 8681405963, 8681405964, 8681405965, 8681405966, 8681405967, 8681405968, 8681405969, 8681405970, 8681405971, 8681405972, 8681405973, 8681405974, 8681405975, 8681405976, 8681405977, 8681405978, 8681405979, 8681405980]",,concrete,,,,,,,,,,,,,,,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,936970499,"LINESTRING (-112.2114166 33.4166437, -112.2117285 33.4166482, -112.2117763 33.4166615, -112.2118267 33.4166748, -112.2118665 33.4166969, -112.211901 33.4167257, -112.2119169 33.4167501, -112.2119381 33.416781, -112.211954 33.4168143, -112.2119593 33.4168519, -112.211962 33.4168895, -112.2119514 33.4169338, -112.2119328 33.4169715, -112.2119089 33.4170025, -112.211901 33.4170379, -112.2118956 33.4170689, -112.2119063 33.4170977, -112.2119169 33.4171309, -112.2119381 33.417153, -112.2119567 33.4171818, -112.2119911 33.4172039, -112.2120256 33.4172194, -112.2120601 33.4172283, -112.212084 33.4172349, -112.2120866 33.4172106, -112.2120946 33.4171796, -112.2121132 33.4171508, -112.212137 33.417122, -112.2121583 33.4170955, -112.2121821 33.4170755, -112.2122087 33.4170556, -112.2122405 33.4170401, -112.2122723 33.4170268, -112.2123015 33.417018, -112.2123386 33.4170069, -112.2123864 33.4170025, -112.2124421 33.4170025, -112.2125202 33.4170036)",yes,,footway,,,,,,,"[8681653313, 8681653314, 8681653315, 8681653316, 8681673217, 8681673218, 8681673219, 8681673220, 8681673221, 8681673222, 8681673223, 8681673224, 8681673225, 8681673226, 8681673227, 8681673228, 8681673229, 8681673230, 8681673231, 8681673232, 8681673233, 8681673234, 8681673235, 8681673236, 8681673237, 8681673238, 8681673239, 8681673240, 8681673241, 8681673242, 8681673243, 8681673244, 8681673245, 8681673246, 8681673247, 8681673248, 8681673249, 8931333890]",,concrete,,,,,,,,,,,,,,,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,965447506,"LINESTRING (-112.2133087 33.4158778, -112.2132107 33.4158788, -112.2131203 33.4158778)",,unmarked,footway,,,,,,,"[8931310614, 8931310613, 8931333896]",,asphalt,,,,,,,,,,,,,,crossing,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,965447519,"LINESTRING (-112.2125265 33.4160445, -112.2126308 33.416046, -112.2127056 33.4160458)",,unmarked,footway,,,,,,,"[8681405980, 8681405981, 8931333845]",,asphalt,,,,,,,,,,,,,,crossing,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,965447520,"LINESTRING (-112.2125245 33.4163463, -112.2126275 33.4163474, -112.2126965 33.4163458)",,unmarked,footway,,,,,,,"[8931333848, 8931333847, 8931333846]",,asphalt,,,,,,,,,,,,,,crossing,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,965447521,"LINESTRING (-112.2125236 33.4164896, -112.2126243 33.4164896, -112.2127086 33.4164896)",,unmarked,footway,,,,,,,"[8931333851, 8931333850, 8931333849]",,asphalt,,,,,,,,,,,,,,crossing,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,965447522,"LINESTRING (-112.2125188 33.4170929, -112.2126112 33.4170929, -112.2126865 33.4170907)",,unmarked,footway,,,,,,,"[8931333854, 8931333853, 8931333852]",,asphalt,,,,,,,,,,,,,,crossing,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,965447523,"LINESTRING (-112.2125167 33.4172721, -112.21261 33.4172726, -112.2126905 33.4172726)",,unmarked,footway,,,,,,,"[8931333857, 8931333856, 8931333855]",,asphalt,,,,,,,,,,,,,,crossing,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,965447524,"LINESTRING (-112.212512 33.4178637, -112.2126117 33.4178625, -112.2126878 33.4178614)",,unmarked,footway,,,,,,,"[8931333860, 8931333859, 8931333858]",,asphalt,,,,,,,,,,,,,,crossing,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,965447525,"LINESTRING (-112.2125098 33.4180391, -112.2126107 33.4180386, -112.2126848 33.4180391)",,unmarked,footway,,,,,,,"[8931333863, 8931333862, 8931333861]",,asphalt,,,,,,,,,,,,,,crossing,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,965447526,"LINESTRING (-112.2129668 33.4199278, -112.2130337 33.4199697, -112.2130918 33.4200127)",,unmarked,footway,,,,,,,"[8931333865, 8931333864, 5269744213]",,asphalt,,,,,,,,,,,,,,crossing,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,965447527,"LINESTRING (-112.2131203 33.4158778, -112.2130553 33.4158879, -112.2130258 33.4158728, -112.2125423 33.4158734, -112.2125316 33.4158829, -112.2125296 33.4158963, -112.2125265 33.4160445, -112.2125245 33.4163463, -112.2125236 33.4164896, -112.2125202 33.4170036, -112.2125188 33.4170929, -112.2125174 33.4171775, -112.2125167 33.4172721, -112.212512 33.4178637, -112.2125114 33.4179383, -112.2125098 33.4180391, -112.2125081 33.4181405, -112.2125021 33.4189562, -112.2125028 33.4190037, -112.2125108 33.4190743, -112.2125215 33.4191392, -112.2125403 33.4191968, -112.2125503 33.4192203, -112.2125638 33.4192467, -112.2125825 33.4192892, -112.2126133 33.4193596, -112.2126543 33.4194593, -112.212657 33.4194845, -112.2127073 33.4195713, -112.2127321 33.4196183, -112.2127669 33.4196675, -112.2128045 33.4197168, -112.2128407 33.4197582, -112.2128709 33.4197907, -112.2129004 33.4198175, -112.2129386 33.4198416, -112.2129661 33.419869, -112.2129748 33.4198992, -112.2129668 33.4199278)",,,footway,,,,,,,"[8931333896, 8931333895, 8931333894, 8931333893, 8931333892, 8931333891, 8681405980, 8931333848, 8931333851, 8931333890, 8931333854, 8931333889, 8931333857, 8931333860, 8931333888, 8931333863, 8931333887, 8931333886, 8931333885, 8931333884, 8931333883, 8931333882, 8931333881, 8931333880, 8931333879, 8931333878, 8931333877, 8931333876, 8931333875, 8931333874, 8931333873, 8931333872, 8931333871, 8931333870, 8931333869, 8931333868, 8931333867, 8931333866, 8931333865]",,concrete,,,,,,,,,,,,,,sidewalk,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1047143203,"LINESTRING (-112.2143996 33.4133758, -112.2143935 33.4137511, -112.2143892 33.4139226, -112.2143905 33.4140488, -112.2143983 33.4141217, -112.2144096 33.4141993, -112.2144274 33.4142805, -112.2144504 33.4143563, -112.2144856 33.4144542, -112.214523 33.414535, -112.2145569 33.4145793, -112.2145781 33.4146184, -112.2145907 33.4146612, -112.2146097 33.4147076, -112.2146372 33.4147675, -112.2146646 33.4148262, -112.2146624 33.4148567, -112.2146841 33.4149194, -112.2149369 33.4154964, -112.2150656 33.4157951, -112.2150668 33.4158174, -112.2150594 33.4158406, -112.215043 33.4158575, -112.2150104 33.4158737, -112.2149558 33.4158815, -112.2147457 33.4158803, -112.2145648 33.4158909, -112.2143652 33.4158893, -112.2142888 33.415878, -112.2134226 33.4158737, -112.2133807 33.4158871, -112.2133451 33.4158898, -112.2133087 33.4158778)",,,footway,,,,,,,"[9629037173, 9629037174, 9629037175, 9629037176, 9629037177, 9629037178, 9629037179, 9629037180, 9629037181, 9629037182, 9629037183, 9629037184, 9629037185, 9629037186, 9629037187, 9629037188, 9629037189, 9629037190, 9629037191, 9629037192, 9629037193, 9629037194, 9629037195, 9629037196, 9629037197, 9629037198, 9629037199, 9629037200, 9629037201, 9629037202, 9629037203, 9629037204, 8931310614]",,,,,,,,,,,,,,,,sidewalk,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1047143204,"LINESTRING (-112.2143996 33.4133758, -112.214404 33.4127195, -112.2144144 33.4116643, -112.2144063 33.4115578, -112.2143926 33.4114677, -112.2143673 33.4113506, -112.2143385 33.41127, -112.214296 33.4111856, -112.2142486 33.4110898, -112.2141638 33.4109722, -112.2140756 33.4108716, -112.2139921 33.410786, -112.2136832 33.4105222, -112.2134483 33.4103211, -112.2132849 33.4101668, -112.2130476 33.4099667, -112.2129808 33.409898, -112.212914 33.4098214, -112.2128293 33.409685, -112.2128019 33.4096312, -112.212778 33.4095615, -112.2126895 33.4093478, -112.212679 33.4093226, -112.2126588 33.4092758, -112.2126313 33.4091305, -112.212623 33.4088676, -112.2126278 33.4086397, -112.2125637 33.4085766, -112.2125177 33.4085761, -112.2124875 33.4085757, -112.2124461 33.4085924, -112.212409 33.4086062, -112.2123575 33.4086059, -112.2105084 33.4085821, -112.2104532 33.4085815, -112.2104178 33.4085741, -112.2103833 33.4085633, -112.21036 33.4085584, -112.2103235 33.4085623, -112.2102763 33.4085783, -112.2102592 33.4085832, -112.2102152 33.4085897, -112.2098183 33.4085784, -112.2097796 33.4085668, -112.209747 33.4085479, -112.2096994 33.4085573, -112.20968 33.4085643, -112.2096632 33.4085999, -112.2096572 33.4086251, -112.2096711 33.4086475, -112.2096632 33.4089495, -112.2096498 33.4089838, -112.2096741 33.4090624, -112.209723 33.4090719, -112.2099106 33.409074, -112.2115161 33.409086, -112.2115533 33.4090789, -112.2115891 33.4090698, -112.2116452 33.4090715, -112.2116898 33.4090905, -112.2117315 33.4091183, -112.2117459 33.4091448, -112.2117564 33.40919, -112.2117628 33.4092401, -112.2117782 33.4093023, -112.2118661 33.4095675, -112.2119266 33.4095878, -112.2124236 33.4094701, -112.2126574 33.409403, -112.2126862 33.4093806, -112.2126895 33.4093478)",,,footway,,,,,,,"[9629037173, 9629037205, 9629037206, 9629037207, 9629037208, 9629037209, 9629037210, 9629037211, 9629037212, 9629037213, 9629037214, 9629037215, 9629037216, 9629044717, 9629044718, 9629044719, 9629044720, 9629044721, 9629044722, 9629044723, 9629044724, 9629044773, 9629044725, 9629044726, 9629044727, 9629044728, 9629044729, 9629044730, 9629044731, 9629044732, 9629044733, 9629044734, 9629044735, 9629044736, 9629044737, 9629044738, 9629044739, 9629044740, 9629044741, 9629044742, 9629044743, 9629044744, 9629044745, 9629044746, 9629044747, 9629044748, 9629044749, 9629044750, 9629044751, 9629044752, 9629044753, 9629044754, 9629044755, 9629044756, 9629044757, 9629044758, 9629044759, 9629044760, 9629044761, 9629044762, 9629044763, 9629044764, 9629044765, 9629044766, 9629044767, 9629044768, 9629044769, 9629044770, 9629044771, 9629044772, 9629044773]",,,,,,,,,,,,,,,,sidewalk,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1047143205,"LINESTRING (-112.2127056 33.4160458, -112.2127365 33.4160245, -112.2127701 33.4160217, -112.2135417 33.4160283, -112.2145009 33.4160207, -112.2145431 33.4160269, -112.2145574 33.4160498, -112.2145728 33.416095, -112.2145704 33.4163498, -112.2145637 33.4163674, -112.2145414 33.416383, -112.2145016 33.4163903, -112.2127557 33.4163804, -112.212714 33.4163699, -112.2126965 33.4163458, -112.2126841 33.4163085, -112.2126905 33.4162797, -112.2126978 33.4162571, -112.2127024 33.4160716, -112.2127056 33.4160458)",,,footway,,,,,,,"[8931333845, 9629044774, 9629044775, 9629044776, 9629044777, 9629044778, 9629044779, 9629044780, 9629044781, 9629044782, 9629044783, 9629044784, 9629044785, 9629044786, 8931333846, 9629044787, 9629044788, 9629044789, 9629044790, 8931333845]",,,,,,,,,,,,,,,,sidewalk,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1047143206,"LINESTRING (-112.2151298 33.4160927, -112.2151356 33.4163228, -112.2151308 33.4165674, -112.2151216 33.417012, -112.2151409 33.4170766, -112.2151284 33.4171156, -112.2151315 33.41722, -112.2151342 33.4172955, -112.2151212 33.4175935, -112.2151154 33.4178831, -112.2151058 33.4179694, -112.2150865 33.4180602, -112.2150586 33.4181936, -112.2150283 33.4182775, -112.2149138 33.4185345, -112.2148305 33.4186647, -112.2147733 33.4187357, -112.2146785 33.4188474, -112.2146078 33.4189153, -112.2144904 33.4190229, -112.2144369 33.4190606, -112.2142998 33.4191562, -112.2142474 33.4191884, -112.2141808 33.4192251, -112.2141028 33.419265, -112.213977 33.4193288, -112.2138185 33.4194099, -112.2136141 33.4195133, -112.2135346 33.4195527, -112.213286 33.4196788, -112.213216 33.4197174, -112.2131723 33.4197472, -112.2131421 33.4197766, -112.2131088 33.4197901, -112.2130721 33.4197922, -112.2130419 33.4197754, -112.2129161 33.4196246)",,,footway,,,,,,,"[9629044791, 9629044792, 9629044793, 9629044794, 9629044795, 9629044796, 9752986643, 9629044797, 9629044798, 9629044799, 9629044800, 9629044801, 9629044802, 9629044803, 9629044804, 9629044805, 9629044806, 9629044807, 9629044808, 9629044809, 9629044810, 9629044811, 9629044812, 9629044813, 9629044814, 9629044815, 9629044816, 9629044817, 9629044818, 9629044819, 9629044820, 9629044821, 9629044822, 9629044823, 9629044824, 9629044825, 9629044826]",,,,,,,,,,,,,,,,sidewalk,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1061523601,"LINESTRING (-112.2223338 33.4227826, -112.222297 33.4227829, -112.2221967 33.4227835, -112.2221526 33.4227837)",,zebra,footway,,,,,no,no,"[9752938970, 7099935875, 7099935876, 9752938971]",,concrete,,,,,,,,,,,,,,crossing,,,,,,"Walmart Supercenter, 7575 W Lower Buckeye Rd, Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,
way,188997870,"LINESTRING (-112.227128 33.4710304, -112.2271301 33.4709128, -112.2271649 33.4709106, -112.2271649 33.4708792, -112.2271649 33.4708345, -112.2271247 33.470839, -112.2271354 33.4707339)",,,footway,,,,,,,"[1996410336, 1996410493, 1996410743, 2001278447, 1996410612, 1996410536, 1996410586]",,,,,,,,,,,,,,,,,,,,,,"Walmart Supercenter, 2020 N 75th Ave, Phoenix",,,Bing,,,,,,,,,,,,,,,,,,,,,,,,
way,188997883,"LINESTRING (-112.2272558 33.4706233, -112.2272374 33.4706444, -112.2271971 33.4706936, -112.2271354 33.4707339, -112.2271113 33.4707271, -112.2270603 33.4707003, -112.2270469 33.4706824, -112.2270442 33.4706533, -112.2270415 33.4706217)",,,footway,,,,,,,"[2001278445, 1996410427, 1996410590, 1996410586, 1996410754, 1996410726, 1996410706, 1996410347, 2001278444]",,,,,,,,,,,,,,,,,,,,,,"Walmart Supercenter, 2020 N 75th Ave, Phoenix",,,Bing,,,,,,,,,,,,,,,,,,,,,,,,
way,188997885,"LINESTRING (-112.2272369 33.4711813, -112.2272317 33.471134, -112.2272266 33.4711097, -112.2272186 33.4710896, -112.2271918 33.471065, -112.2271435 33.4710292, -112.227128 33.4710304, -112.2270872 33.4710337, -112.2270496 33.4710628, -112.2270201 33.4711142, -112.2270156 33.4711317, -112.2270121 33.4711804)",,,footway,,,,,,,"[2001278454, 2001278451, 1996410633, 1996410509, 1996410495, 1996410500, 1996410336, 1996410348, 1996410549, 1996410442, 2001278450, 2001278453]",,,,,,,,,,,,,,,,,,,,,,"Walmart Supercenter, 2020 N 75th Ave, Phoenix",,,Bing,,,,,,,,,,,,,,,,,,,,,,,,
way,189103162,"LINESTRING (-112.2304103 33.4763924, -112.2307144 33.4762512)",,,footway,,,,,,,"[1997497264, 1997497234]",,,,,,,,,,,,,,,,,,,,,,"Walmart Supercenter, 2020 N 75th Ave, Phoenix",,,Bing,,,,,,,,,,,,,,,,,,,,,,,,
way,189103184,"LINESTRING (-112.2304478 33.4765579, -112.2304296 33.4764777, -112.2304103 33.4763924, -112.2303566 33.4763141, -112.2302815 33.4762984, -112.2302118 33.476285, -112.2300408 33.4762825)",,,footway,,,,,,,"[1997497600, 1997497638, 1997497264, 1997497707, 1997497774, 1997497470, 1997497427]",,,,,,,,,,,,,,,,,,,,,,"Walmart Supercenter, 2020 N 75th Ave, Phoenix",,,Bing,,,,,,,,,,,,,,,,,,,,,,,,
way,189103186,"LINESTRING (-112.2306329 33.4754557, -112.2306144 33.4759942, -112.2305981 33.4760129, -112.2303566 33.4763141)",,,footway,,,,,,,"[1997497597, 1997497410, 1997497694, 1997497707]",,,,,,,,,,,,,,,,,,,,,,"Walmart Supercenter, 2020 N 75th Ave, Phoenix",,,Bing,,,,,,,,,,,,,,,,,,,,,,,,
way,189103205,"LINESTRING (-112.2302118 33.476285, -112.230311 33.4760051)",,,footway,,,,,,,"[1997497470, 1997497154]",,,,,,,,,,,,,,,,,,,,,,"Walmart Supercenter, 2020 N 75th Ave, Phoenix",,,Bing,,,,,,,,,,,,,,,,,,,,,,,,
way,189103207,"LINESTRING (-112.2310119 33.4758905, -112.2306144 33.4759942)",,,footway,,,,,,,"[1997497732, 1997497410]",,,,,,,,,,,,,,,,,,,,,,"Walmart Supercenter, 2020 N 75th Ave, Phoenix",,,Bing,,,,,,,,,,,,,,,,,,,,,,,,
way,189103216,"LINESTRING (-112.2303378 33.475749, -112.2303298 33.4754537)",,,footway,,,,,,,"[1997497657, 1997497576]",,,,,,,,,,,,,,,,,,,,,,"Walmart Supercenter, 2020 N 75th Ave, Phoenix",,,Bing,,,,,,,,,,,,,,,,,,,,,,,,
way,189103225,"LINESTRING (-112.2302412 33.4757505, -112.230244 33.4754531)",,,footway,,,,,,,"[1997497480, 1997497588]",,,,,,,,,,,,,,,,,,,,,,"Walmart Supercenter, 2020 N 75th Ave, Phoenix",,,Bing,,,,,,,,,,,,,,,,,,,,,,,,
